entry_id,entry_name,max_dim,max_dim_value,num_not_answered
2052,Christ Way Ministries International,dim11,0.54,0
1375,Epic of Gilgamesh,dim12,1.0,0
1855,Atra-Hasīs,dim12,1.0,0
2280,Enki and Ninmaḫ,dim12,1.0,0
2285,Enki and Ninḫursaĝa,dim12,1.0,0
2295,Nergal and Ereškigal,dim12,1.0,1
589,Warrau,dim12,1.0,6
1434,Kuna,dim12,1.0,8
632,Local Religion at Selinous,dim12,0.99,0
1871,Inana's descent to the nether world,dim12,0.99,3
479,Mesopotamian city-state cults of the Early Dynastic periods,dim12,0.98,1
1993,Ancient Boeotians,dim12,0.98,1
1288,Bailadeiras of Goa,dim12,0.97,0
2009,Ancient Arcadians,dim12,0.97,0
1714,Syncretic Polytheism in Curious Pastimes LARP,dim12,0.97,2
308,Neo-Assyrian Scholars,dim12,0.96,1
1129,Ancient Thessalians,dim12,0.96,1
390,Dasara,dim12,0.93,0
441,Worshipers of Śītalā,dim12,0.93,0
1162,Lingbao dafa,dim12,0.92,3
964,Baul Fakirs of Bengal,dim12,0.9,0
1322,Pagans under the Emperor Julian,dim12,0.89,0
1677,Royal Hittite Religion,dim12,0.89,0
1763,Uḍḍīśatantra,dim12,0.89,0
361,Classical Greek Religion,dim12,0.89,2
1004,Religion in Roman Ostia,dim12,0.88,1
1187,Sanctuary at Tell Damiyah,dim12,0.88,5
1352,Śākadvīpīya Brāhmaṇas,dim12,0.87,0
1996,Delphic Hymns 1 and 2,dim12,0.87,0
230,Religion in Mesopotamia,dim12,0.66,2
1979,The Homeric Hymn to Hermes,dim12,0.65,0
439,Śaiva Magic,dim12,0.64,0
1011,Kingdom of Edom,dim12,0.63,2
1183,Religion at Nippur in the Ur III period,dim12,0.63,2
620,Papago,dim12,0.59,12
1399,Religion in the Mittani Empire,dim12,0.58,5
255,Talismanic Religion,dim12,0.53,14
1525,Changsha Zidanku Chu bo shu 長沙子彈庫楚帛書 1 (Chu Silk Manuscript),dim12,0.51,7
1323,Luguru,dim12,0.49,10
721,Semang,dim12,0.45,7
1469,Huamachuco Religion,dim12,0.42,7
1624,Neo-Assyrian Healers (āšipu/mašmaššu-exorcists),dim12,0.37,11
626,Barama River Carib,dim12,0.37,12
618,Nuxalk,dim12,0.33,11
354,Priests and Scholars of Hellenistic Uruk,dim12,0.32,6
1284,Religion of Phoenicia,dim12,0.25,9
621,Haitians,dim12,0.22,13
1196,K’iche’ (Quiché),dim12,0.22,13
1175,Religion in Northern Hejaz,dim12,0.17,14
462,Tukano,dim12,0.12,15
751,Buddhism in the Mekong Delta,dim12,0.12,15
2143,City of God,dim12,0.12,15
966,"Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān,",dim13,1.0,0
1606,Kitab Sara'ir wa Asrar an-Nutaqa' كتاب سرائر وأسرار النّطقاء,dim13,1.0,0
1618,Diya'u al-Ta'aweel fee Ma'ani al-Tanzeel (The Bright interpretation of the meanings of the Qur'an),dim13,1.0,0
1736,Ihya'u Sunnah wa Ikhmadul Bid'ah,dim13,1.0,0
1771,إنفاق الميسور في تاريخ بلاد التكرار,dim13,1.0,0
1811,كتاب قصيدة المرثية (Kitab Qasidat al-Marsiyyah).,dim13,1.0,0
1981,(Guiding the traveler to the most honorable path in the jurisprudence of Imam Malik.)إرشاد السالك إلى أشرف المسالك في فقه الإمام مالك,dim13,1.0,0
2008,(The beginning of the diligent and the end of the frugal) بداية المجتهد ونهاية المقتصد,dim13,1.0,0
2040,(Condolences to the Al-Azhar community) المقدمة العزية للجماعة الأزهرية,dim13,1.0,0
2053,(Alert the unwary)تنبيه الغافلين,dim13,1.0,0
2082,(The spears of the Merciful Party on the Throat of the Servants of the Merciful.) رماح حزب الرحيم على نحور حزب الرحيم,dim13,1.0,0
2103,"(Revising the strong statement, an explanation of the chapter on hadith) تنقيح القول الحثيث شرح لباب الحديث",dim13,1.0,0
2111,Tsinburbura Traditional Religion,dim13,1.0,0
2114,Tijaniyyah Sufi Movement in North-Western Nigeria,dim13,1.0,0
2116,Qadiriyyah Movement in the Sokoto Caliphate.,dim13,1.0,0
2122,Jama'at Izalat al-Bid'ah wa Iqamat al-Sunnah (JIBWIS),dim13,1.0,0
2126,Nasrul-lahi-li Fathi Society of Nigeria (NASFAT),dim13,1.0,0
2133,ANSAR-UD-DEEN SOCIETY OF NIGERIA,dim13,1.0,0
2139,Shi'a Group in Nigeria,dim13,1.0,0
2141,(Ahl al-Sunnah Group for Preaching and Jihad)جماعة أهل السنة للدعوة والجهاد,dim13,1.0,0
1905,(A brief introduction to the Islamic jurisprudence on the Maliki school of law)مختصر الأخضري في مذهب الإمام مالك,dim13,0.92,0
1906,"(Acceptable means of praising the Prophet, may God bless him and grant him peace)الوسائل المتقبلة في مدح النبي صلى الله عليه و سلم",dim13,0.92,0
2032,(The light of the rulers regarding what is best for them and on them) ضياء الحكام فيما لهم وعليهم من الأحكم,dim13,0.92,0
2138,الجماعة الأحمدية الإسلامية في نيجيريا,dim13,0.92,0
476,Cham Bani,dim13,0.89,0
1808,'yan Taru (Women Cadre of the Nana Asma'u),dim13,0.86,1
933,Marcionites,dim13,0.76,0
1907,A treatise on the rulings of the people of Dhimma (رسالة في أحكام اهل الذمة),dim13,0.76,0
1559,Al-manhaj al-farîd fî ma'rifat 'ilm al-tawhîd.,dim13,0.71,2
1558,Acts of Paul and Thecla,dim13,0.42,0
2021,The United Missionary Church of Africa,dim13,0.42,0
1458,Mbuti,dim13,0.42,12
744,Rwala Bedouin,dim13,0.4,10
2038,"Cathars, Catharism, Albigenses, Albigensians, Cathari, Catharistae, ""Pure Christians""",dim13,0.34,4
387,Ahmadi; Ahmadiyya Muslim Jama'at; Ahmadiya,dim13,0.17,15
1338,The Sayings of the Desert Fathers,dim13,0.17,15
1356,The Lausiac History,dim13,0.17,15
1659,The Conferences of John Cassian,dim13,0.17,15
186,Buddhism (Late Ming),dim13,0.1,13
300,Israelite Religion,dim13,0.1,13
176,Qumran Movement,dim2,1.0,0
1759,الطريقة الشاذلية = Attarika Achadoulia,dim2,1.0,0
1774,إباضية جزيرة جربة,dim2,1.0,0
1791,"الطريقة القادرية في بغداد: فترة التأسيس ق12 Attarika Al Qadiria à Bagdad: la période fondatrice, le XIIe siècle",dim2,1.0,0
1904,الطريقة القادرية في تونس القرن  19 و20   =  L'ordre Qadiri en Tunisie aux XIXe et XXe siècles,dim2,1.0,0
2075,L'Interprétation du Coran Intituléتفسير الجامع لأحكام ا Tafsir  Al-Jami' li Ahkam Al Coran par Al-Qurtubi تفسير الجامع لأحكام القرآن للقرطبي,dim2,1.0,0
2087,"Al-Tabari’s interpretation of the Qur’an تفسير الطبري""جامع البيان في تأويل آي القرآن """,dim2,1.0,0
2089,L'ordre Soufit karkariya en Tunisie الطريقة الكركرية في تونس,dim2,1.0,0
2092,Interpretation of Imam Ibn Arafaتفسير الامام ابن عرفة الورغمّي,dim2,1.0,0
2100,الدولة الزيانية,dim2,1.0,0
2147,الدولة الحفصية 1229-1574,dim2,1.0,0
2245,صقلية الإسلامية,dim2,1.0,0
1779,المذهب المالكي بالبلاد التونسية,dim2,1.0,1
1737,الإمامية Al-Imamia,dim2,0.99,0
1776,الطريقة القادرية في البلاد التونسية,dim2,0.9,0
2124,إراءة عرائس شموس فلك الحقائق العرفانية بأصابع حق ماهية التربية بالطريقة التجانية,dim2,0.81,0
2256,الطريقة الرحمانية في الجزائر  ق18-ق20,dim2,0.81,0
2278,الطريقة القادرية البودشيشية في المغرب الأقصى,dim2,0.81,0
2290,الطريقة القادرية في مصر ق13م-ق21م,dim2,0.81,0
2023,الدولة الزيرية 971 - 1152,dim2,0.77,0
1418,Book of Jonah,dim2,0.76,1
2084,MAITATSINE: NIGERIA'S BLOODY RELIGIOUS TERRORIST MOVEMENT,dim2,0.75,3
2238,XX ــــــــ    ـق  XVIII   الطريقة التجانية في الجزائر :ق,dim2,0.74,0
2125,الإسلام في نيجيريا والشيخ عثمان بن فوديو الفلاتي-أدم عبد الله الالوري,dim2,0.73,2
2048,الدولة الرستمية,dim2,0.7,0
1517,Tunisian Women's Associations,dim2,0.67,0
2052,Christ Way Ministries International,dim2,0.67,0
2104,الطريقة التجانية في تونس ق18-ق19 ATARIKA TJENIA FI TOUNES  XVIII-XIXème siècle,dim2,0.64,0
1522,Tijaniyya Tariqa الطريقة التجانية,dim2,0.63,0
1293,The Zapotec or Ben 'Zaa (The Cloud People),dim2,0.61,2
2118,Samaritan Hymn by Amram Dare,dim2,0.59,0
2231,جواهر المعاني وبلوغ الأماني,dim2,0.56,0
2246,المذهب الحنفي بالبلاد التونسية,dim2,0.56,0
2272,Abou Hamid Al-Ghazali:   Le livre d'Al-Jam Al-Awam sur la science de la théologie الجام العوام عن علم الكلام,dim2,0.54,0
1555,Al-Ahbash الأحباش,dim2,0.5,0
727,Raglai,dim2,0.42,5
752,Haroi,dim2,0.42,5
651,Kapauku,dim2,0.24,9
1450,Tehuelche,dim2,0.09,15
189,Israelite Religion,dim2,0.08,14
492,Roman Divination,dim3,1.0,0
1265,Mozi 墨子,dim3,1.0,0
580,Nāth Sampradāya,dim3,1.0,1
580,Nāth Sampradāya,dim3,1.0,1
2094,Feathered Serpent's cult,dim3,1.0,3
420,Swaminarayan Sampraday,dim3,0.99,0
854,pre-Christian Irish,dim3,0.99,0
891,Peruvian Mormons,dim3,0.99,0
921,Bhils,dim3,0.99,0
971,Gāṇapatya,dim3,0.99,0
1582,Cult of Bona Dea,dim3,0.99,0
1971,The Homeric Hymn to Demeter,dim3,0.99,0
2055,An Akkadian Tamitu-Query,dim3,0.99,0
1777,الطريقة التّيجانية بالبلاد التونسية,dim3,0.99,1
882,Orphism,dim3,0.98,0
1574,Household religion at Ur,dim3,0.97,1
887,Postsocialist Mongolian Shamanism,dim3,0.97,4
1158,Early Daoist text—Commands and Admonitions for the Families of the Great Dao (Dadaojia lingjie大道家令戒),dim3,0.96,3
938,Ugarit,dim3,0.95,0
788,The Late Bronze Age City-State of Ugarit,dim3,0.95,1
1294,The Autobiography of Adad-guppi,dim3,0.93,1
1780,الطريقة الشاذلية في تونس,dim3,0.89,0
1973,The Homeric Hymn to Apollo,dim3,0.86,0
1257,Ammonite Religion,dim3,0.86,7
1429,Enheduana's Exaltation of Inana,dim3,0.85,7
563,"Gaddi, a Hindu community of the Western Himalayas",dim3,0.82,0
534,Roman Imperial Cult,dim3,0.79,2
1189,Yādiya/Sam'al,dim3,0.77,1
885,Contemporary West African Vodun,dim3,0.71,0
1816,The Zhen'gao,dim3,0.68,2
888,Céli Dé monks,dim3,0.67,0
1324,Taiping jing,dim3,0.67,0
577,Ganda,dim3,0.67,10
602,Amhara,dim3,0.58,8
1101,Natchez,dim3,0.57,8
1404,Religion in Nabataea,dim3,0.57,10
1076,Inquisitors of Goa's Santo Ofício,dim3,0.55,0
2180,Cao Đài,dim3,0.55,0
957,Spartan Religion,dim3,0.52,2
1029,Zigao 子羔,dim3,0.44,8
614,!Kung,dim3,0.42,5
193,Fijian Religion (contemporary),dim3,0.42,10
682,Lakher,dim3,0.37,8
722,Gros Ventre,dim3,0.36,7
729,Kikuyu,dim3,0.35,8
598,Masai,dim3,0.33,10
1551,Donation Texts from Ur during the Isin-Larsa Period,dim3,0.33,10
1421,Tian wen 天問,dim3,0.31,9
485,Sámi pre-Christian religion,dim3,0.29,7
1370,Teda,dim3,0.28,12
574,Konso,dim3,0.27,11
1420,Creek,dim3,0.21,14
571,Abkhaz,dim3,0.2,13
299,Shang State Religion,dim3,0.18,11
608,Kurd,dim3,0.09,14
1654,Le Parti du Mouvement de La Nahda حزب حركة النهضة,dim4,1.0,0
1686,L'islam et les origines de la gouvernance Ali Abdel Razek الإسلام وأصول الحكم علي عبد الرازق,dim4,1.0,0
1588,In the Shade of the Qur'an في ظلال القرآن,dim4,0.99,0
1652,Le Livre de al-'Ibana 'an 'Usul al-Diyana de al-Ash'ari كتاب الإبانة عن أصول الديانة للأشعري,dim4,0.99,0
1795,‘Adhwā‘ Al-Bayān fi ‘Idhāḥ Al-Qur‘ān bi Al-Qur‘ān: أضواء البيان في إيضاح القرآن بالقرآن,dim4,0.99,0
1976,Who is not assisted by the religious scholar(The Jurist) (Man La Yahdhuruhu al-Faqih) من لا يحضره الفقيه,dim4,0.99,0
2046,L'Interprétation du Coran Intitulé Tafsir al-Manar تفسير المنار,dim4,0.99,0
2059,(The Garden of Knowers)بستان العارفين,dim4,0.99,0
2064,Sha'rawi interpretation of the Coran تفسير محمّد متولّي الشعراوي,dim4,0.99,0
2078,"L'Interprétation du Coran ""Clés de l'Invisible"" تفسير ""مفاتيح الغيب""",dim4,0.99,0
2262,Le Commencement et la Fin البداية والنهاية de Ibn Kathir لابن كثير,dim4,0.99,0
2265,القرآن الكريم Le Noble Coran,dim4,0.99,0
1241,Taiping 太平 Movement,dim4,0.98,0
1778,Le Conflit d'Adam et Eve contre Satan ou The first and the Second hidden book of Adam and Eve صراع آدم وحوّاء ضدّ الشيطان,dim4,0.98,0
182,Pauline Christianity,dim4,0.98,2
1628,Bad' al-Khalq wa Qasas al-Anbiya' of Kisa'i كتاب بدء الخلق وقصص الأنبياء للكسائي,dim4,0.96,0
914,Tariqa Shadhiliyya,dim4,0.84,0
1560,‘Ara’is al-Majalis fi Qasas al-Anbiya' عَرَائِسُ الْمَجَالِسِ فِي قَصَصِ الْأَنْبِيَاءِ,dim4,0.83,0
1708,الإباضية  Al-Ibadia,dim4,0.72,0
1805,Wahhabisme الوهّابيّة,dim4,0.72,0
2069,L'ordre Soufi Qasimite Hadfite الطريقة الصوفية القاسميّة الهادفية,dim4,0.72,0
1268,Monotheistic Pre-Islamic South Arabia,dim4,0.68,6
