entry_id,yes_parents,yes_children,christian_parents,christian_children,n_children,n_parents,answer_value
1847,0.0,0.0,0.0,0.0,2.0,1.0,0.0
1855,0.0,0.0,0.0,0.0,8.0,7.0,0.0
1871,0.0,0.0,0.0,0.0,2.0,5.0,0.0
1898,0.0,0.0,0.0,0.0,4.0,7.0,0.0
1903,0.6,0.68,0.25,0.09,34.0,20.0,1.0
1908,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1924,0.0,0.33,0.12,0.0,6.0,8.0,0.0
1976,0.6,,0.4,,,5.0,1.0
1983,0.48,0.8,0.48,0.8,5.0,21.0,1.0
1989,0.0,0.78,0.0,0.56,9.0,1.0,0.0
1993,0.0,0.64,0.0,0.5,14.0,3.0,0.0
1997,0.29,1.0,0.0,0.0,5.0,7.0,1.0
1998,0.64,0.5,0.0,0.12,8.0,14.0,1.0
2001,0.0,0.0,0.12,0.0,3.0,8.0,0.0
2016,0.64,0.78,0.36,0.22,9.0,14.0,1.0
2023,0.71,1.0,0.57,0.25,4.0,7.0,1.0
2025,1.0,1.0,0.0,0.17,6.0,1.0,1.0
2031,0.67,1.0,0.67,0.0,3.0,6.0,1.0
2038,0.4,1.0,0.6,1.0,6.0,5.0,1.0
2039,0.0,0.21,0.0,0.17,24.0,5.0,0.0
2055,0.0,0.0,0.0,0.0,6.0,6.0,0.0
2057,0.0,,0.0,,,1.0,0.0
2071,0.25,0.0,0.08,0.5,2.0,12.0,0.0
2075,0.9,1.0,0.5,0.0,2.0,10.0,1.0
2078,0.67,,0.33,,,6.0,1.0
2080,0.23,0.68,0.08,0.5,28.0,13.0,0.0
2081,0.25,0.31,0.12,0.31,13.0,8.0,0.0
2086,1.0,,1.0,,,1.0,1.0
2087,0.4,1.0,0.4,0.0,3.0,10.0,1.0
2092,0.82,1.0,0.27,0.0,1.0,11.0,1.0
2101,1.0,1.0,0.0,0.67,3.0,3.0,1.0
2118,0.36,0.86,0.27,0.43,21.0,11.0,0.0
2128,0.5,1.0,1.0,0.55,22.0,4.0,1.0
2140,0.44,0.5,0.44,0.5,2.0,9.0,0.0
2143,1.0,,0.5,,,6.0,1.0
2147,1.0,1.0,0.33,0.2,5.0,6.0,1.0
2149,0.38,0.87,0.38,0.61,23.0,13.0,0.0
2155,0.58,1.0,0.0,0.0,2.0,12.0,1.0
2170,0.75,1.0,0.25,1.0,4.0,4.0,1.0
2177,0.17,0.33,0.08,0.0,3.0,12.0,0.0
2181,0.2,0.3,0.1,0.3,10.0,10.0,0.0
2187,0.0,0.0,0.17,0.14,7.0,6.0,0.0
2190,0.0,0.36,0.1,0.36,22.0,10.0,0.0
2191,0.0,,0.0,,,5.0,0.0
2232,1.0,,1.0,,,1.0,1.0
2236,0.5,1.0,0.42,0.0,1.0,12.0,1.0
2243,0.67,0.35,0.0,0.12,17.0,12.0,1.0
2245,0.0,1.0,1.0,0.5,4.0,1.0,1.0
2246,0.67,1.0,0.33,0.08,12.0,3.0,1.0
2247,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2255,0.33,1.0,0.0,1.0,1.0,15.0,1.0
2258,0.6,1.0,0.47,0.0,2.0,15.0,1.0
2262,0.67,,0.44,,,9.0,1.0
2263,0.91,0.67,0.18,0.0,3.0,11.0,0.0
2264,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2265,0.0,0.8,1.0,0.2,10.0,1.0,1.0
2272,0.82,0.5,0.18,0.0,4.0,11.0,1.0
2273,0.39,1.0,0.0,0.0,1.0,18.0,0.0
2280,0.0,0.0,0.0,0.0,1.0,6.0,0.0
2285,0.0,0.0,0.0,0.0,1.0,6.0,0.0
2290,1.0,1.0,0.5,0.0,4.0,6.0,0.0
2297,1.0,1.0,0.75,1.0,8.0,4.0,1.0
2299,0.56,0.5,0.11,0.5,2.0,9.0,1.0
2308,0.5,,0.5,,,2.0,1.0
2313,0.5,0.5,0.0,0.1,20.0,8.0,1.0
2322,0.58,0.71,0.32,0.29,7.0,19.0,1.0
2339,1.0,,0.0,,,1.0,0.0
2348,0.0,0.0,0.0,0.15,13.0,1.0,0.0
2362,0.57,0.45,0.19,0.18,11.0,21.0,1.0
2365,1.0,1.0,0.17,0.0,1.0,6.0,1.0
2368,0.5,0.6,0.5,0.2,5.0,4.0,1.0
23,,0.0,,0.0,1.0,,0.0
230,,0.0,,0.0,26.0,,0.0
422,,0.56,,0.44,16.0,,0.0
485,,0.67,,0.67,3.0,,0.0
738,,0.22,,0.25,36.0,,0.0
775,,0.46,,0.05,39.0,,0.0
852,,0.5,,0.5,2.0,,0.0
885,,0.0,,0.0,1.0,,1.0
937,,0.6,,0.47,15.0,,0.0
978,,0.5,,0.0,2.0,,1.0
1227,,0.33,,0.33,3.0,,0.0
1626,,0.0,,0.0,5.0,,0.0
1810,,0.0,,0.0,1.0,,0.0
2009,,0.56,,0.22,9.0,,0.0
