entry_id,Q4955,Q4956,Q4961,Q4962,Q4963,Q4964,Q4968,Q4969,Q4970,Q4971,Q4972,Q4973,Q4974,Q4975,Q4976,Q4977,Q4978,Q4979,Q4980,Q4981,weight
1248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,0.0,1.0,,1.0
1247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1241,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0
1234,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,1.0
1231,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,1.0
1229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1227,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,0.0,,1.0,1.0
1218,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1210,1.0,,,,,,,,,,,,,,,,,,,,1.0
1192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1189,1.0,,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,0.0,1.0,,1.0
1183,,1.0,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,0.0,1.0,,1.0
1180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1172,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1162,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,1.0
1149,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1140,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1129,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
